topics, num_imgs, num_hrefs, kw_avg_avg, data_channel_is_tech, data_channel_is_other, shares
Entertainment,1.0,5.0,1114.02403846,0.0,0.0,1300
Lifestyle,1.0,14.0,884.851996337,0.0,0.0,1200
Technology,9.0,5.0,1191.15905649,1.0,0.0,1100
Technology,20.0,20.0,1539.41721362,1.0,0.0,1500
Other,16.0,20.0,1399.69230769,0.0,1.0,2400
Business,1.0,3.0,1802.97293791,0.0,0.0,1200
Entertainment,1.0,3.0,713.919230769,0.0,0.0,1700
Technology,20.0,21.0,1466.21043284,1.0,0.0,1200
Technology,20.0,20.0,1645.5334142,1.0,0.0,500
Entertainment,13.0,6.0,707.240740741,0.0,0.0,455
Technology,0.0,1.0,1516.04068423,1.0,0.0,1100
Business,1.0,17.0,649.607407407,0.0,0.0,459
Technology,1.0,26.0,1048.3102877,1.0,0.0,1400
Entertainment,1.0,5.0,848.688888889,0.0,0.0,6400
Social Media,11.0,6.0,831.510493827,0.0,0.0,4800
Technology,19.0,20.0,1777.3305987,1.0,0.0,695
Other,1.0,32.0,858.143055556,0.0,1.0,341
Entertainment,0.0,3.0,1084.44620811,0.0,0.0,1900
Other,0.0,3.0,3492.73042328,0.0,1.0,1200
Other,19.0,23.0,1775.37196392,0.0,1.0,450
Technology,19.0,19.0,1596.9530987,1.0,0.0,663
Technology,19.0,36.0,1740.77979726,1.0,0.0,302
World,1.0,7.0,1232.38121693,0.0,0.0,971
World,10.0,1.0,1047.39764563,0.0,0.0,1400
Entertainment,1.0,5.0,512.055555556,0.0,0.0,1000
Lifestyle,0.0,5.0,1206.95740741,0.0,0.0,1900
Entertainment,1.0,10.0,935.488888889,0.0,0.0,1100
Lifestyle,20.0,24.0,1487.91093567,0.0,0.0,1100
Entertainment,8.0,3.0,826.62962963,0.0,0.0,1500
Business,1.0,5.0,801.911111111,0.0,0.0,2000
Other,0.0,2.0,3487.08756614,0.0,1.0,5700
Other,10.0,5.0,3987.42281746,0.0,1.0,7100
Lifestyle,20.0,28.0,1159.55997896,0.0,0.0,1200
Technology,0.0,2.0,1225.84276468,1.0,0.0,705
Business,1.0,7.0,641.528888889,0.0,0.0,1900
Other,11.0,13.0,1437.01574074,0.0,1.0,3800
Lifestyle,1.0,10.0,1366.79382716,0.0,0.0,2300
Entertainment,0.0,2.0,1334.2699737,0.0,0.0,575
Entertainment,1.0,8.0,1644.36111111,0.0,0.0,1800
Technology,0.0,5.0,960.986035354,1.0,0.0,1600
Technology,1.0,6.0,1166.81712963,1.0,0.0,1900
World,1.0,9.0,542.041043084,0.0,0.0,5600
World,1.0,12.0,886.663412698,0.0,0.0,1500
Social Media,1.0,3.0,1071.70740741,0.0,0.0,9200
Entertainment,1.0,5.0,2958.26706349,0.0,0.0,1700
Other,8.0,4.0,2193.5776455,0.0,1.0,6000
Lifestyle,11.0,2.0,1222.8898541,0.0,0.0,752
Entertainment,0.0,5.0,1447.14444444,0.0,0.0,19400
Lifestyle,1.0,7.0,815.969614512,0.0,0.0,1700
Technology,19.0,20.0,1319.9027544,1.0,0.0,1600
Technology,20.0,19.0,1640.09313321,1.0,0.0,788
Entertainment,0.0,1.0,1442.8833123,0.0,0.0,454
Technology,28.0,23.0,1516.20793959,1.0,0.0,1100
Technology,1.0,11.0,1113.67944444,1.0,0.0,2800
Other,11.0,13.0,1547.78513889,0.0,1.0,1600
Other,10.0,28.0,5047.34886621,0.0,1.0,2000
World,1.0,2.0,855.014550265,0.0,0.0,412
World,0.0,4.0,503.354444444,0.0,0.0,1100
Other,26.0,31.0,1746.20746032,0.0,1.0,417
Social Media,8.0,19.0,1564.27407407,0.0,0.0,1600
Business,1.0,3.0,1069.21481481,0.0,0.0,2500
Business,1.0,8.0,534.607407407,0.0,0.0,474
Entertainment,1.0,6.0,1169.36111111,0.0,0.0,2100
Other,0.0,1.0,5316.56375661,0.0,1.0,513
World,1.0,10.0,847.420634921,0.0,0.0,10400
Other,15.0,32.0,1553.82954145,0.0,1.0,2200
Technology,1.0,10.0,773.771180556,1.0,0.0,5600
World,1.0,11.0,1182.5718254,0.0,0.0,373
Lifestyle,1.0,9.0,1268.66644444,0.0,0.0,1000
Entertainment,0.0,2.0,1261.10888889,0.0,0.0,3200
Other,0.0,4.0,3499.31375661,0.0,1.0,657
Technology,1.0,2.0,1309.22188724,1.0,0.0,2100
Technology,1.0,3.0,1349.20447896,1.0,0.0,727
Entertainment,13.0,3.0,424.344444444,0.0,0.0,350
Business,1.0,3.0,955.264444444,0.0,0.0,1900
Technology,20.0,22.0,1709.42886845,1.0,0.0,1200
World,1.0,4.0,758.857460317,0.0,0.0,2800
Other,1.0,10.0,927.05308642,0.0,1.0,341
Business,1.0,12.0,929.523492063,0.0,0.0,648
Technology,9.0,2.0,1328.22914563,1.0,0.0,1300
Technology,20.0,21.0,1481.04265702,1.0,0.0,1000
Technology,20.0,20.0,2007.83592233,1.0,0.0,1300
Business,1.0,8.0,1062.19074074,0.0,0.0,1700
Technology,0.0,5.0,1072.38919325,1.0,0.0,4600
Entertainment,1.0,8.0,1312.61111111,0.0,0.0,2700
Lifestyle,19.0,21.0,1273.21997896,0.0,0.0,1700
World,1.0,7.0,643.469614512,0.0,0.0,450
Lifestyle,0.0,4.0,1647.04074074,0.0,0.0,939
Technology,1.0,2.0,1297.47109748,1.0,0.0,1600
Lifestyle,19.0,21.0,1007.01282107,0.0,0.0,866
Business,1.0,3.0,1245.47185185,0.0,0.0,606
Entertainment,8.0,5.0,1074.66843034,0.0,0.0,5000
Entertainment,15.0,34.0,580.344444444,0.0,0.0,11500
World,1.0,9.0,732.869614512,0.0,0.0,529
Other,0.0,1.0,3862.65361552,0.0,1.0,28000
Lifestyle,20.0,26.0,1431.06022139,0.0,0.0,1700
Lifestyle,1.0,12.0,1525.11644444,0.0,0.0,761
Business,0.0,7.0,941.780555556,0.0,0.0,958
Entertainment,1.0,12.0,2143.830928,0.0,0.0,904
Other,0.0,9.0,2295.1577588,0.0,1.0,1200
Entertainment,1.0,2.0,1354.12948479,0.0,0.0,4500
Business,1.0,5.0,2060.62847379,0.0,0.0,1200
Entertainment,1.0,8.0,1544.86207066,0.0,0.0,427
Technology,1.0,5.0,1320.71110679,1.0,0.0,1300
Business,1.0,9.0,1022.63154799,0.0,0.0,3200
Lifestyle,1.0,4.0,924.261536756,0.0,0.0,377
Entertainment,0.0,5.0,1756.21253429,0.0,0.0,3400
Lifestyle,1.0,7.0,1746.61200452,0.0,0.0,972
Other,0.0,5.0,2438.21034507,0.0,1.0,979
Business,1.0,10.0,1434.55484741,0.0,0.0,737
Business,20.0,23.0,1942.77292673,0.0,0.0,3800
Technology,19.0,45.0,1554.65847306,1.0,0.0,396
Technology,1.0,8.0,2618.97063121,1.0,0.0,1700
Entertainment,1.0,4.0,1575.52948479,0.0,0.0,676
Technology,0.0,10.0,2249.22544131,1.0,0.0,2900
Technology,1.0,6.0,1136.56396734,1.0,0.0,2500
Technology,0.0,5.0,976.913443726,1.0,0.0,1400
Entertainment,11.0,16.0,2482.02989318,0.0,0.0,484
Entertainment,6.0,12.0,1212.94123733,0.0,0.0,7500
Business,1.0,6.0,1325.21678638,0.0,0.0,441
Lifestyle,0.0,8.0,988.275246882,0.0,0.0,922
World,1.0,11.0,1059.74804469,0.0,0.0,473
World,0.0,4.0,2868.33877772,0.0,0.0,3200
World,1.0,6.0,1084.36726257,0.0,0.0,1600
Other,0.0,3.0,2580.14624251,0.0,1.0,1300
Lifestyle,20.0,27.0,1322.70175302,0.0,0.0,1300
Lifestyle,1.0,11.0,835.291344662,0.0,0.0,5600
Technology,10.0,6.0,1755.08645509,1.0,0.0,8100
World,1.0,6.0,1575.55484741,0.0,0.0,5500
Other,10.0,15.0,3540.31551761,0.0,1.0,3800
Entertainment,1.0,10.0,974.251829797,0.0,0.0,933
Technology,1.0,12.0,924.821664072,1.0,0.0,2500
Business,1.0,12.0,1196.09732198,0.0,0.0,1700
Technology,1.0,7.0,1184.24574875,1.0,0.0,2400
Lifestyle,1.0,8.0,1616.76855718,0.0,0.0,11400
Other,1.0,9.0,1063.18267673,0.0,1.0,308
Other,15.0,38.0,1899.69220054,0.0,1.0,1400
Entertainment,0.0,4.0,1633.36849646,0.0,0.0,762
Entertainment,1.0,7.0,1322.7190151,0.0,0.0,1200
Business,0.0,2.0,1328.49174149,0.0,0.0,657
Entertainment,11.0,38.0,2332.4736454,0.0,0.0,1200
Lifestyle,1.0,14.0,824.463631285,0.0,0.0,11800
Lifestyle,20.0,29.0,1811.42533197,0.0,0.0,2400
Business,0.0,7.0,1274.46199027,0.0,0.0,794
Technology,20.0,21.0,1761.37392069,1.0,0.0,1500
Business,1.0,5.0,1072.81678638,0.0,0.0,1300
Other,1.0,12.0,1223.24090063,0.0,1.0,1200
Technology,5.0,7.0,1228.60267131,1.0,0.0,1900
World,1.0,3.0,1236.37271881,0.0,0.0,1500
Business,1.0,3.0,1085.82678638,0.0,0.0,698
Other,0.0,6.0,2760.03743863,0.0,1.0,1100
Entertainment,1.0,5.0,1672.43402811,0.0,0.0,742
Entertainment,1.0,3.0,2729.9647424,0.0,0.0,2000
Entertainment,1.0,19.0,2324.99786192,0.0,0.0,1000
Business,1.0,4.0,1441.34084863,0.0,0.0,1500
Lifestyle,1.0,6.0,1003.95113128,0.0,0.0,1200
Other,1.0,6.0,1898.1233838,0.0,1.0,751
Social Media,1.0,11.0,1861.74328279,0.0,0.0,775
Business,1.0,6.0,887.895982974,0.0,0.0,569
Other,1.0,6.0,1731.75518634,0.0,1.0,3000
Technology,1.0,3.0,1376.67916342,1.0,0.0,1500
Other,0.0,3.0,2360.21034507,0.0,1.0,1100
Other,0.0,2.0,3122.90955694,0.0,1.0,979
Business,0.0,2.0,1771.32232198,0.0,0.0,802
Technology,19.0,23.0,1579.2786193,1.0,0.0,2300
Technology,34.0,19.0,1455.59953384,1.0,0.0,835
Business,1.0,6.0,850.401116487,0.0,0.0,2000
Other,0.0,2.0,2194.17908075,0.0,1.0,12000
Technology,1.0,2.0,1496.57788402,1.0,0.0,423
Entertainment,0.0,2.0,2735.28140906,0.0,0.0,1000
Business,1.0,7.0,1685.5279773,0.0,0.0,1600
Other,0.0,4.0,3067.46601006,0.0,1.0,1400
Lifestyle,1.0,13.0,867.335218808,0.0,0.0,2400
Technology,0.0,2.0,1411.9637296,1.0,0.0,1200
Technology,1.0,14.0,1308.91028979,1.0,0.0,1500
Technology,0.0,2.0,1568.4040108,1.0,0.0,1400
Technology,1.0,4.0,1004.04444012,1.0,0.0,1000
Business,1.0,2.0,1237.76398865,0.0,0.0,400
Business,1.0,13.0,1268.29297367,0.0,0.0,1700
Other,0.0,4.0,2699.62452256,0.0,1.0,3200
World,1.0,8.0,1674.32541828,0.0,0.0,1100
Technology,0.0,7.0,1734.43623325,1.0,0.0,4400
Other,0.0,4.0,3296.82543276,0.0,1.0,1400
Business,1.0,7.0,1350.01867749,0.0,0.0,924
Business,1.0,11.0,1119.54991713,0.0,0.0,1900
Lifestyle,1.0,10.0,1496.11870069,0.0,0.0,1300
Technology,19.0,53.0,1703.17421697,1.0,0.0,1300
Technology,1.0,5.0,1578.65945804,1.0,0.0,1800
Entertainment,0.0,2.0,2873.25803881,0.0,0.0,37400
Entertainment,1.0,4.0,1181.61518167,0.0,0.0,18000
World,13.0,3.0,1115.14338052,0.0,0.0,2500
Social Media,1.0,4.0,2209.94843951,0.0,0.0,18200
Entertainment,1.0,8.0,2496.24613405,0.0,0.0,924
Technology,1.0,5.0,1315.5248481,1.0,0.0,730
Lifestyle,1.0,13.0,1237.32183556,0.0,0.0,3500
Technology,1.0,3.0,1433.04678006,1.0,0.0,1900
World,1.0,8.0,1036.2091184,0.0,0.0,614
Technology,18.0,2.0,1170.6575743,1.0,0.0,2900
Social Media,1.0,24.0,1397.91171976,0.0,0.0,1600
World,1.0,45.0,1007.15130309,0.0,0.0,1100
Lifestyle,0.0,5.0,1317.23482258,0.0,0.0,1100
Other,7.0,10.0,1919.29433004,0.0,1.0,2200
Entertainment,0.0,3.0,3005.34596905,0.0,0.0,582
Entertainment,0.0,6.0,3249.773515,0.0,0.0,1000
Entertainment,1.0,3.0,1393.30689618,0.0,0.0,1700
World,1.0,5.0,776.07720353,0.0,0.0,720
Other,0.0,1.0,2686.48166542,0.0,1.0,19800
Lifestyle,1.0,13.0,1463.29288974,0.0,0.0,1500
Technology,28.0,23.0,1551.42115748,1.0,0.0,3000
Technology,33.0,22.0,1572.66527513,1.0,0.0,2500
Other,0.0,6.0,3065.34491328,0.0,1.0,4400
Entertainment,1.0,4.0,2784.69385264,0.0,0.0,1400
Technology,1.0,11.0,2071.98667832,1.0,0.0,1600
Business,1.0,7.0,1183.56656999,0.0,0.0,2100
Lifestyle,1.0,3.0,1297.45056979,0.0,0.0,1100
Technology,25.0,21.0,1967.09212239,1.0,0.0,2100
Technology,19.0,4.0,1562.02572269,1.0,0.0,840
Technology,20.0,23.0,1521.40358205,1.0,0.0,1100
World,1.0,9.0,776.07720353,0.0,0.0,1600
World,0.0,8.0,1403.91007079,0.0,0.0,2100
World,1.0,4.0,1346.64046976,0.0,0.0,2200
Social Media,0.0,5.0,1385.10334685,0.0,0.0,9000
Other,0.0,4.0,2842.30510082,0.0,1.0,622
Technology,1.0,3.0,1375.62949081,1.0,0.0,1000
Technology,26.0,16.0,1834.33923072,1.0,0.0,658
Technology,0.0,1.0,1589.18275037,1.0,0.0,1400
Technology,4.0,4.0,1282.47360846,1.0,0.0,1500
Technology,7.0,3.0,1466.52615748,1.0,0.0,2300
Other,1.0,4.0,2713.5784595,0.0,1.0,5200
World,1.0,4.0,1480.00126486,0.0,0.0,5300
Technology,1.0,9.0,1603.70450379,1.0,0.0,1600
Other,11.0,18.0,1758.92757495,0.0,1.0,6300
Technology,21.0,1.0,1731.09960979,1.0,0.0,2000
Other,1.0,4.0,2342.05557503,0.0,1.0,2300
Technology,1.0,56.0,1684.77867364,1.0,0.0,1900
Social Media,1.0,6.0,2187.25458909,0.0,0.0,1700
Technology,26.0,12.0,2217.03192897,1.0,0.0,1600
Business,1.0,20.0,1457.97101041,0.0,0.0,1400
Business,0.0,8.0,1394.36430847,0.0,0.0,2100
Technology,20.0,21.0,1604.76255397,1.0,0.0,3400
Technology,0.0,1.0,1491.21286103,1.0,0.0,1000
Technology,20.0,20.0,1232.78230547,1.0,0.0,1800
World,1.0,14.0,1831.96356466,0.0,0.0,25200
Lifestyle,19.0,21.0,1402.78238839,0.0,0.0,15700
World,0.0,6.0,3181.60101134,0.0,0.0,1700
Other,0.0,5.0,2284.53900622,0.0,1.0,2700
Technology,11.0,11.0,1868.4827273,1.0,0.0,5400
Technology,20.0,31.0,1533.29815134,1.0,0.0,1300
Technology,20.0,26.0,2115.97788184,1.0,0.0,3800
World,1.0,12.0,1295.11987153,0.0,0.0,7900
Other,1.0,18.0,2231.60140975,0.0,1.0,731
Other,9.0,14.0,2000.21708388,0.0,1.0,1900
Business,1.0,16.0,1549.40022447,0.0,0.0,3100
Lifestyle,11.0,13.0,1470.17566544,0.0,0.0,1900
Lifestyle,20.0,30.0,1707.20792387,0.0,0.0,9700
World,0.0,4.0,2410.72582737,0.0,0.0,3400
Entertainment,1.0,3.0,1447.60419207,0.0,0.0,894
Entertainment,16.0,44.0,2709.75363932,0.0,0.0,1300
Other,1.0,5.0,1460.0149456,0.0,1.0,2100
Technology,1.0,13.0,743.545161899,1.0,0.0,12100
Other,1.0,4.0,3760.87409387,0.0,1.0,1400
Other,7.0,16.0,2705.86708388,0.0,1.0,3700
Lifestyle,6.0,11.0,1556.14575047,0.0,0.0,2200
Entertainment,1.0,4.0,4179.36303577,0.0,0.0,1300
Technology,1.0,8.0,1111.92976876,1.0,0.0,1600
World,1.0,7.0,2254.89989294,0.0,0.0,1400
Social Media,6.0,19.0,2376.82330447,0.0,0.0,14300
Lifestyle,11.0,22.0,2110.36803235,0.0,0.0,33100
Other,12.0,41.0,1888.39166949,0.0,1.0,3400
Other,0.0,2.0,3432.66959157,0.0,1.0,5400
Other,10.0,14.0,1878.67660769,0.0,1.0,5600
Other,0.0,7.0,3342.65933197,0.0,1.0,618
Entertainment,6.0,2.0,2071.215534,0.0,0.0,2300
Technology,18.0,4.0,2023.67681226,1.0,0.0,8000
World,1.0,6.0,3579.69444905,0.0,0.0,630
World,0.0,6.0,3024.5924802,0.0,0.0,2900
Business,1.0,3.0,1323.54145787,0.0,0.0,5800
World,1.0,6.0,2386.46296603,0.0,0.0,2000
Business,10.0,7.0,2080.15572935,0.0,0.0,1900
Business,1.0,7.0,1953.02687522,0.0,0.0,909
Lifestyle,1.0,7.0,1947.83283751,0.0,0.0,705
Lifestyle,1.0,10.0,1520.03940085,0.0,0.0,2700
World,1.0,7.0,2584.12237112,0.0,0.0,699
Entertainment,1.0,11.0,2766.61091622,0.0,0.0,2100
World,1.0,7.0,1547.88889119,0.0,0.0,1900
Business,1.0,1.0,1844.6831663,0.0,0.0,636
Entertainment,0.0,4.0,2458.66179754,0.0,0.0,432
Entertainment,1.0,9.0,2325.64736848,0.0,0.0,3000
Business,1.0,9.0,1473.98319414,0.0,0.0,621
Lifestyle,0.0,4.0,1711.6739245,0.0,0.0,5300
Technology,1.0,8.0,1425.69636078,1.0,0.0,1600
World,0.0,6.0,1603.830674,0.0,0.0,1700
Business,1.0,5.0,1516.82895787,0.0,0.0,649
Business,1.0,3.0,1393.1886105,0.0,0.0,476
Business,0.0,3.0,1928.28197104,0.0,0.0,1300
Entertainment,1.0,22.0,3251.7585641,0.0,0.0,1900
Technology,1.0,13.0,1733.88231386,1.0,0.0,1700
World,1.0,5.0,1260.37365448,0.0,0.0,1800
World,1.0,19.0,1456.86824568,0.0,0.0,586
Business,1.0,4.0,1143.78543482,0.0,0.0,1100
Social Media,1.0,3.0,1454.89997026,0.0,0.0,992
Entertainment,1.0,7.0,1979.8996492,0.0,0.0,950
Other,0.0,4.0,3226.45376483,0.0,1.0,903
Technology,1.0,5.0,1048.78982446,1.0,0.0,1500
Entertainment,12.0,8.0,1228.10528836,0.0,0.0,1700
Business,1.0,6.0,2947.96638827,0.0,0.0,1600
Other,0.0,20.0,3297.73759425,0.0,1.0,1500
Entertainment,16.0,21.0,3756.30931511,0.0,0.0,1200
Lifestyle,1.0,3.0,2440.39465698,0.0,0.0,1300
Technology,1.0,10.0,1914.4572645,1.0,0.0,1300
Entertainment,1.0,3.0,3210.23312463,0.0,0.0,862
Business,1.0,12.0,1363.31658315,0.0,0.0,1200
Lifestyle,19.0,25.0,2224.75332096,0.0,0.0,2600
Social Media,12.0,8.0,2621.47087823,0.0,0.0,4900
Technology,27.0,16.0,1532.9119158,1.0,0.0,1900
Technology,26.0,11.0,1763.9066648,1.0,0.0,2700
Business,1.0,17.0,1782.43797593,0.0,0.0,1100
Entertainment,1.0,9.0,2740.8779128,0.0,0.0,3000
Other,0.0,4.0,3433.70957083,0.0,1.0,727
Entertainment,1.0,8.0,1850.35985562,0.0,0.0,1100
Lifestyle,1.0,8.0,1627.07732266,0.0,0.0,498
Technology,1.0,6.0,2082.13445602,1.0,0.0,1300
Other,13.0,16.0,3220.93630356,0.0,1.0,1300
Entertainment,5.0,3.0,921.078966271,0.0,0.0,1400
Other,14.0,12.0,2254.26963689,0.0,1.0,884
World,1.0,3.0,2009.37439013,0.0,0.0,1200
World,26.0,30.0,2268.78519154,0.0,0.0,645
Other,0.0,2.0,3377.86531685,0.0,1.0,429
Entertainment,1.0,8.0,2364.90224141,0.0,0.0,39400
Business,1.0,11.0,1025.51684046,0.0,0.0,811
Technology,1.0,3.0,1534.30483161,1.0,0.0,5200
Technology,1.0,3.0,1322.30880139,1.0,0.0,756
Business,1.0,7.0,2051.03368092,0.0,0.0,498
Other,26.0,70.0,2678.24144833,0.0,1.0,2200
Lifestyle,0.0,8.0,1711.60008332,0.0,0.0,1300
Entertainment,0.0,8.0,1465.50012954,0.0,0.0,440
Business,1.0,9.0,1067.1331663,0.0,0.0,983
Technology,1.0,7.0,2740.73688026,1.0,0.0,2800
Technology,1.0,5.0,1606.33801723,1.0,0.0,1200
Technology,42.0,11.0,1681.33801723,1.0,0.0,1300
Entertainment,1.0,8.0,2150.35985562,0.0,0.0,423
Business,0.0,6.0,2175.06999174,0.0,0.0,735
Other,0.0,3.0,2296.49568132,0.0,1.0,1100
World,1.0,6.0,3172.74824742,0.0,0.0,718
Social Media,9.0,28.0,2366.57868512,0.0,0.0,1400
Social Media,11.0,14.0,1956.31484494,0.0,0.0,1100
Other,0.0,7.0,2241.48084974,0.0,1.0,544
World,1.0,8.0,2855.14824716,0.0,0.0,2400
Social Media,1.0,13.0,1642.41015192,0.0,0.0,6000
Social Media,1.0,3.0,2426.90220642,0.0,0.0,1200
Lifestyle,1.0,4.0,1783.23016118,0.0,0.0,2300
World,1.0,12.0,2769.60581571,0.0,0.0,581
Technology,1.0,9.0,2868.87230226,1.0,0.0,6800
Entertainment,1.0,7.0,2401.60341423,0.0,0.0,752
Lifestyle,1.0,11.0,2734.31101547,0.0,0.0,866
Other,0.0,7.0,2608.7720031,0.0,1.0,5000
Entertainment,1.0,17.0,2547.465417,0.0,0.0,1200
Other,0.0,5.0,2903.92640372,0.0,1.0,3200
Lifestyle,0.0,11.0,1547.38224032,0.0,0.0,442
Business,1.0,4.0,3037.07299237,0.0,0.0,2900
World,1.0,8.0,1968.41356765,0.0,0.0,1100
World,1.0,3.0,2517.73856765,0.0,0.0,2200
Technology,0.0,8.0,2025.58903473,1.0,0.0,1900
Business,0.0,7.0,1780.00325811,0.0,0.0,2400
Entertainment,1.0,3.0,2913.13132091,0.0,0.0,730
Technology,11.0,12.0,2050.28656046,1.0,0.0,5900
World,1.0,11.0,2555.50726964,0.0,0.0,458
Business,1.0,7.0,1491.45696791,0.0,0.0,2100
Lifestyle,1.0,4.0,1367.59142101,0.0,0.0,1600
World,1.0,3.0,2240.37327832,0.0,0.0,462
Technology,0.0,3.0,2212.86216772,1.0,0.0,2500
Entertainment,1.0,3.0,2290.08555709,0.0,0.0,1900
Entertainment,9.0,20.0,1487.61981136,0.0,0.0,593
Lifestyle,1.0,9.0,2275.09321624,0.0,0.0,1300
Social Media,1.0,5.0,2633.11580009,0.0,0.0,5400
Business,1.0,6.0,3254.82777893,0.0,0.0,1100
Social Media,0.0,4.0,2503.87770486,0.0,0.0,3800
Business,1.0,5.0,2207.23829152,0.0,0.0,725
Business,1.0,1.0,2124.9160693,0.0,0.0,787
Social Media,1.0,5.0,2344.06396011,0.0,0.0,8900
Social Media,1.0,11.0,3765.42370014,0.0,0.0,5500
Business,1.0,5.0,1893.29265721,0.0,0.0,1900
World,1.0,7.0,2375.62660306,0.0,0.0,463
Entertainment,1.0,2.0,1108.59374281,0.0,0.0,368
Technology,0.0,5.0,1825.90893604,1.0,0.0,1300
Other,0.0,5.0,2915.86411655,0.0,1.0,957
Social Media,11.0,13.0,2843.79757789,0.0,0.0,1200
Other,1.0,7.0,1762.51797779,0.0,1.0,484
Technology,1.0,2.0,2233.1815149,1.0,0.0,17100
Business,1.0,3.0,1367.20931534,0.0,0.0,2300
Social Media,10.0,2.0,3137.91850557,0.0,0.0,2300
Technology,0.0,1.0,2087.7689457,1.0,0.0,3100
Lifestyle,1.0,8.0,1413.37341682,0.0,0.0,2400
