min_topics,seed,n_lifestyle_articles,n_entertainment_articles,n_bus_articles,n_socmed_articles,n_tech_articles,n_world_articles,n_other_articles,realized_diversity,lp_shares,shares_trade_off
4,30,0.0,1.0,2.0,1.0,0.0,0.0,6.0,4,89.28369,0.0
4,40,1.0,0.0,1.0,1.0,0.0,0.0,7.0,4,89.27851,0.07673645
4,50,0.0,0.0,1.0,3.0,1.0,0.0,5.0,4,88.15859,0.18374634
4,60,0.0,0.0,1.0,2.0,1.0,0.0,6.0,4,89.76441,-7.6293945e-06
4,70,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5,87.88524,0.0
4,80,0.0,1.0,1.0,2.0,0.0,0.0,6.0,4,88.40774,7.6293945e-06
4,90,2.0,2.0,0.0,2.0,0.0,0.0,4.0,4,88.49376,0.0
5,0,1.0,1.0,0.0,2.0,2.0,0.0,4.0,5,88.31323,0.05482483
5,10,2.0,0.0,1.0,3.0,1.0,0.0,3.0,5,88.58345,0.041618347
5,20,1.0,0.0,1.0,1.0,0.0,1.0,6.0,5,89.809044,0.14821625
5,30,1.0,1.0,2.0,1.0,0.0,0.0,5.0,5,89.15484,0.12885284
5,40,1.0,1.0,1.0,1.0,0.0,0.0,6.0,5,89.05644,0.29880524
5,50,0.0,1.0,1.0,2.0,1.0,0.0,5.0,5,87.95335,0.3889923
5,60,0.0,1.0,1.0,1.0,1.0,0.0,6.0,5,89.71918,0.04522705
5,70,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5,87.88524,0.0
5,80,1.0,1.0,1.0,1.0,0.0,0.0,6.0,5,88.359825,0.047920227
5,90,2.0,2.0,0.0,2.0,1.0,0.0,3.0,5,88.48937,0.004386902
6,0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,6,88.11406,0.2539978
6,10,2.0,1.0,1.0,3.0,1.0,0.0,2.0,6,88.37193,0.25313568
6,20,1.0,1.0,1.0,1.0,0.0,1.0,5.0,6,89.63964,0.31761932
6,30,1.0,1.0,2.0,1.0,1.0,0.0,4.0,6,88.862915,0.42077637
6,40,1.0,1.0,1.0,1.0,1.0,0.0,5.0,6,88.700806,0.65444183
6,50,0.0,1.0,1.0,1.0,1.0,1.0,5.0,6,87.70074,0.64160156
6,60,1.0,1.0,1.0,1.0,1.0,0.0,5.0,6,89.59515,0.16925049
6,70,1.0,1.0,1.0,2.0,1.0,0.0,4.0,6,87.673195,0.21204376
6,80,1.0,1.0,1.0,1.0,1.0,0.0,5.0,6,88.12126,0.28648376
6,90,2.0,2.0,1.0,2.0,1.0,0.0,2.0,6,88.41137,0.08238983
